32002,13.08.1987,"81,82%","9,09%","9,09%","0,00%","83,33%","8,33%","0,00%","8,33%","91,67%","8,33%","0,00%","27,27%","0,00%","0,00%","0,00%","36,36%","0,00%","0,00%","9,09%","18,18%","9,09%","0,00%","0,00%",8_12,5_12,1_12,5_12,5_12,5_12,1_12,9_12,9_12,10_12,4_12
32003,14.08.1987,"80,00%","10,00%","10,00%","0,00%","83,33%","8,33%","0,00%","8,33%","91,67%","8,33%","0,00%","20,00%","0,00%","0,00%","0,00%","40,00%","0,00%","0,00%","10,00%","20,00%","10,00%","0,00%","0,00%",8_12,5_12,1_12,5_12,5_12,5_12,1_12,9_12,9_12,10_12,4_12
35026,23.11.1995,"76,92%","15,38%","7,69%","0,00%","75,00%","16,67%","0,00%","8,33%","83,33%","16,67%","0,00%","0,00%","0,00%","0,00%","7,69%","0,00%","0,00%","0,00%","0,00%","76,92%","15,38%","0,00%","0,00%",9_12,9_12,9_12,9_12,9_12,9_12,9_12,4_12,10_12,10_12,4_12
20911,01.04.1957,"73,33%","6,67%","6,67%","13,33%","75,00%","8,33%","8,33%","8,33%","83,33%","8,33%","8,33%","53,33%","0,00%","13,33%","0,00%","13,33%","6,67%","0,00%","6,67%","6,67%","0,00%","0,00%","0,00%",5_12,1_12,1_12,1_12,1_12,3_12,6_12,9_12,5_12,8_12,8_12
17267,10.04.1947,"72,73%","0,00%","0,00%","27,27%","75,00%","0,00%","25,00%","0,00%","75,00%","0,00%","25,00%","36,36%","0,00%","18,18%","0,00%","27,27%","0,00%","9,09%","0,00%","9,09%","0,00%","0,00%","0,00%",5_12,1_12,1_12,1_12,3_12,5_12,9_12,5_12,3_12,7_12,2_12
17631,08.04.1948,"72,73%","9,09%","0,00%","18,18%","75,00%","8,33%","16,67%","0,00%","75,00%","8,33%","16,67%","36,36%","0,00%","9,09%","0,00%","36,36%","0,00%","9,09%","0,00%","0,00%","9,09%","0,00%","0,00%",5_12,1_12,5_12,1_12,1_12,1_12,10_12,5_12,3_12,7_12,1_12
17639,16.04.1948,"72,73%","0,00%","0,00%","27,27%","75,00%","0,00%","25,00%","0,00%","75,00%","0,00%","25,00%","36,36%","0,00%","9,09%","0,00%","18,18%","0,00%","9,09%","0,00%","18,18%","0,00%","9,09%","0,00%",5_12,1_12,9_12,1_12,1_12,1_12,11_12,5_12,3_12,7_12,4_12
20309,08.08.1955,"72,73%","0,00%","18,18%","9,09%","75,00%","0,00%","8,33%","16,67%","91,67%","0,00%","8,33%","18,18%","0,00%","0,00%","9,09%","54,55%","0,00%","9,09%","9,09%","0,00%","0,00%","0,00%","0,00%",5_12,5_12,1_12,5_12,5_12,5_12,5_12,8_12,4_12,7_12,9_12
21019,18.07.1957,"72,73%","9,09%","18,18%","0,00%","66,67%","8,33%","0,00%","25,00%","91,67%","8,33%","0,00%","18,18%","0,00%","0,00%","18,18%","45,45%","9,09%","0,00%","0,00%","9,09%","0,00%","0,00%","0,00%",5_12,4_12,1_12,5_12,5_12,5_12,6_12,9_12,5_12,4_12,4_12
21025,24.07.1957,"72,73%","9,09%","9,09%","9,09%","66,67%","8,33%","16,67%","8,33%","75,00%","8,33%","16,67%","0,00%","0,00%","9,09%","9,09%","63,64%","9,09%","0,00%","0,00%","9,09%","0,00%","0,00%","0,00%",5_12,5_12,3_12,5_12,5_12,5_12,6_12,9_12,5_12,4_12,4_12
