"27.27%","0.00%","0.00%","0.00%","36.36%","0.00%","0.00%","9.09%","18.18%","9.09%","0.00%","0.00%","5_12",
"20.00%","0.00%","0.00%","0.00%","40.00%","0.00%","0.00%","10.00%","20.00%","10.00%","0.00%","0.00%","5_12",
"0.00%","0.00%","0.00%","7.69%","0.00%","0.00%","0.00%","0.00%","76.92%","15.38%","0.00%","0.00%","9_12",
"53.33%","0.00%","13.33%","0.00%","13.33%","6.67%","0.00%","6.67%","6.67%","0.00%","0.00%","0.00%","1_12",
"36.36%","0.00%","18.18%","0.00%","27.27%","0.00%","9.09%","0.00%","9.09%","0.00%","0.00%","0.00%","1_12",
"36.36%","0.00%","9.09%","0.00%","36.36%","0.00%","9.09%","0.00%","0.00%","9.09%","0.00%","0.00%","1_12",
"36.36%","0.00%","9.09%","0.00%","18.18%","0.00%","9.09%","0.00%","18.18%","0.00%","9.09%","0.00%","1_12",
"18.18%","0.00%","0.00%","9.09%","54.55%","0.00%","9.09%","9.09%","0.00%","0.00%","0.00%","0.00%","5_12",
"18.18%","0.00%","0.00%","18.18%","45.45%","9.09%","0.00%","0.00%","9.09%","0.00%","0.00%","0.00%","4_12",
"0.00%","0.00%","9.09%","9.09%","63.64%","9.09%","0.00%","0.00%","9.09%","0.00%","0.00%","0.00%","5_12",
"0.00%","0.00%","0.00%","9.09%","63.64%","18.18%","0.00%","0.00%","9.09%","0.00%","0.00%","0.00%","5_12",
"27.27%","9.09%","0.00%","0.00%","18.18%","0.00%","9.09%","9.09%","27.27%","0.00%","0.00%","0.00%","1_12",
"9.09%","0.00%","0.00%","9.09%","27.27%","0.00%","0.00%","9.09%","36.36%","9.09%","0.00%","0.00%","5_12",
"40.00%","0.00%","10.00%","0.00%","30.00%","0.00%","10.00%","0.00%","0.00%","10.00%","0.00%","0.00%","1_12",
"10.00%","0.00%","0.00%","10.00%","60.00%","0.00%","10.00%","10.00%","0.00%","0.00%","0.00%","0.00%","5_12",
"40.00%","0.00%","10.00%","0.00%","20.00%","10.00%","0.00%","10.00%","10.00%","0.00%","0.00%","0.00%","1_12",
"10.00%","0.00%","0.00%","20.00%","50.00%","10.00%","0.00%","0.00%","10.00%","0.00%","0.00%","0.00%","4_12",
"10.00%","0.00%","0.00%","20.00%","50.00%","10.00%","0.00%","0.00%","10.00%","0.00%","0.00%","0.00%","4_12",
"0.00%","0.00%","0.00%","20.00%","60.00%","10.00%","0.00%","0.00%","10.00%","0.00%","0.00%","0.00%","5_12",
"30.00%","10.00%","0.00%","0.00%","10.00%","0.00%","10.00%","10.00%","30.00%","0.00%","0.00%","0.00%","1_12",
"30.00%","10.00%","0.00%","0.00%","0.00%","0.00%","10.00%","10.00%","40.00%","0.00%","0.00%","0.00%","1_12",
"30.00%","10.00%","0.00%","0.00%","0.00%","0.00%","10.00%","10.00%","40.00%","0.00%","0.00%","0.00%","1_12",
"10.00%","0.00%","0.00%","10.00%","30.00%","0.00%","0.00%","10.00%","30.00%","10.00%","0.00%","0.00%","5_12",
"10.00%","0.00%","0.00%","0.00%","40.00%","0.00%","0.00%","10.00%","20.00%","20.00%","0.00%","0.00%","5_12",
"10.00%","0.00%","0.00%","0.00%","40.00%","0.00%","0.00%","10.00%","20.00%","10.00%","10.00%","0.00%","5_12",
"10.00%","0.00%","0.00%","0.00%","40.00%","0.00%","0.00%","10.00%","20.00%","10.00%","0.00%","10.00%","5_12",
"10.00%","10.00%","0.00%","0.00%","40.00%","0.00%","0.00%","10.00%","20.00%","10.00%","0.00%","0.00%","5_12",
"10.00%","0.00%","10.00%","0.00%","40.00%","0.00%","0.00%","10.00%","20.00%","10.00%","0.00%","0.00%","5_12",
